,Unnamed: 0,id,desc,category,price,old_price,discount_type
6857,9427,139335,ketšup orgaaniline heinz 0.58kg 0.5l,SH-13-6-32,5.45,,"
"
6858,9426,134098,liha üldmaitseaine santa maria 0.29kg,SH-13-12-73,5.45,,"
"
6859,9424,193096,tomatiketšup ilma lisatud suhkruta felix 0.97kg,SH-13-6-32,5.45,,"
"
6860,9425,102809,maitseainesegu vegeta 0.5kg,SH-13-12-78,5.45,,"
"
6861,9504,427774,halogeenlamp osram h7 55w 12v,SH-15-2-12,5.49,,"
"
6862,9490,803516,süvameregarneel koorimata rimi msc 0.45kg,SH-4-2-12,5.49,,"
"
6863,9524,7234114,kpn.vein zantho grüner veltliner 0.25l,SH-1-11-6,5.49,,"
"
6864,9496,730243,kehaõli neutral baby sensit.skin 0.15l,SH-5-1-1,5.49,,"
"
6865,9499,290934,mägi viigimari  0.4kg,SH-12-5-28,5.49,,"
"
6866,9489,925084,vinnutatud vorst e-vaba 0.25kg,SH-8-15,5.49,,"
"
6867,9500,110775,aromat.puuv.vein monte cristo rose 0.75l,SH-1-11-5,5.49,,"
"
6868,9501,105221,aromat.puuv.vein monte cristo white 0.75l,SH-1-11-6,5.49,,"
"
6869,9502,105222,aromat.puuv.vein monte cristo red 0.75l,SH-1-11-3,5.49,,"
"
6870,9505,196773,pannkoogimoos rõngu mahl 0.9kg,SH-13-10-54,5.49,,"
"
6871,9511,197260,roheline tee milk oolong basilur 0.1kg,SH-13-17-97,5.49,,"
"
6872,9507,809428,süvameregarneelid rimi soolvees 0.33kg,SH-8-3-4,5.49,,"
"
6873,9508,807593,juust pecorino ica 0.2kg,SH-11-3-14,5.49,,"
"
6874,9509,156323,pastakaste bolognese barilla 0.4kg,SH-13-16-20,5.49,,"
"
6875,9510,197841,õunaäädikas detox öko 0.5l,SH-13-19-109,5.49,,"
"
6876,9514,807588,juust rimi mozzarella 0kg,SH-11-3-10,5.49,,"
"
6877,9518,967387,kokteil mereandidest nowaco 0.32kg,SH-4-2-12,5.49,,"
"
6878,9520,747548,klaasipesuvedelik 4l -15c,SH-15-2-10,5.49,,"
"
6879,9521,7234132,kpn.vein zantho zweigelt 0.25l,SH-1-11-3,5.49,,"
"
6880,9487,944369,minutipihv eesti rohumaaveis 0.2kg,SH-8-21,5.49,,"
"
6881,9506,804962,mesi erinevate lillede rimi basic 1kg,SH-13-10-53,5.49,,"
"
6882,9477,976965,jäätis kakao-mee toblerone 0.3l 0.216kg,SH-4-1-6,5.49,,"
"
6883,9491,812377,metspähklikreem rimi 0.6kg,SH-13-10-62,5.49,,"
"
6884,9468,1369989,energiajook red bull suhkruvaba 4x0.25l,SH-3-4,5.49,,"
"
6885,9429,1010166,piparkoogisüdamed kalev 0.375kg,SH-9-3-1,5.49,,"
"
6886,9431,417006,silikoonmääre turtle wax 0.038l,SH-15-2-8,5.49,,"
"
6887,9433,7253274,pehmik ty mandarin oranž koer puffies,SH-5-5-14,5.49,,"
"
6888,9434,7253273,pehmik ty gizmo värviline kass puffies,SH-5-5-14,5.49,,"
"
6889,9435,7253268,pehmik ty cleo värviline koer puffies,SH-5-5-14,5.49,,"
"
6890,9436,930530,öko klassikaline kakaojoogi pulber nonna 0.25kg,SH-19-7,5.49,,"
"
6891,9440,966186,jõhvikas meega ecomari 0.07kg,SH-19-6-1,5.49,,"
"
6892,9441,1005989,pähkli&kakaokreem steviaga magusain.good 0.35kg,SH-13-1-1,5.49,,"
"
6893,9442,1351431,täismahl semu astelpaju 0.5l,SH-12-8-36,5.49,,"
"
6894,9443,7249203,kpn.kv.vahuvein mas pere brut res cava 0.2l,SH-1-10-20,5.49,,"
"
6895,9476,972259,juust hiirte viilutatud 0.35kg,SH-11-3-17,5.49,,"
"
6896,9447,972545,nuudlikauss pardifileega chef lunden 0.28kg,SH-16-6,5.49,,"
"
6897,9448,969311,must leib kiluga 0.265kg,SH-16-11,5.49,,"
"
6898,9449,153447,jahusegu gluteenivaba schär 1kg,SH-13-4-18,5.49,,"
"
6899,9450,1000521,pähkilte ja oliivide segu seeberger 0.125kg,SH-9-4-13,5.49,,"
"
6900,9461,994094,vanamehe šuitšune gouda nopri 0.25kg,SH-19-1,5.49,,"
"
6901,9462,1010612,hommikusöögi leib semper gluteenivaba 0.3kg,SH-13-1-3,5.49,,"
"
6902,9463,1010610,hamburgerikuklid semper gluteenivaba 4tk 0.3kg,SH-13-1-3,5.49,,"
"
6903,9464,7068632,silikoonspray 0.3l,SH-15-2-10,5.49,,"
"
6904,9465,995614,juust saaremaa viilutatud mo saaremaa 0.45kg,SH-11-3-17,5.49,,"
"
6905,9446,106584,mesi meveda 0.5kg,SH-13-10-53,5.49,,"
"
6906,9540,814317,kalkuni rinnafilee marinaadis rimi kg,SH-8-9-20,5.5,,"
"
6907,9539,293689,kuldmerikoger jahutatud,SH-8-20-10,5.5,,"
"
6908,9542,993301,juust morbier pdo kg,SH-11-3-19,5.52,,"
"
6909,9543,7171051,kassisööt kuiv perfect fit steril 0.75kg,SH-7-1-3,5.53,,"
"
6910,9544,7265705,täisv.kuiv.kas.roh.kalk perfect fit 0.75kg,SH-7-1-3,5.53,,"
"
6911,9545,7171034,kassisööt kuiv kana perfect fit 0.75l,SH-7-1-3,5.53,,"
"
6912,9546,7171050,kassisööt perfect fit kanaga 0.75kg,SH-7-1-3,5.53,,"
"
6913,9547,7171052,kassisööt perfect fit 0.75kg,SH-7-1-3,5.53,,"
"
6914,9548,7237528,kuivt perfectfit veise täisk kass 0.75kg,SH-7-1-3,5.53,,"
"
6915,9549,7237526,kuivt perfectfit veise täisk kass 0.75kg,SH-7-1-3,5.53,,"
"
6916,9555,944470,kitsejuust andri-peedo 0.15kg,SH-19-1,5.55,,"
"
6917,9557,939433,lambapiimajuust el pastro 54% kg,SH-11-3-14,5.55,,"
"
6918,9556,967587,mar.šampinjonid sibula ja küüslaugu 0.5kg,SH-19-5,5.55,,"
"
6919,9554,104059,kaste teriyaki santa maria 0.3l,SH-13-11-72,5.55,,"
"
6920,9550,803241,oliiviõli extra light rimi 0.5l,SH-13-19-108,5.55,,"
"
6921,9552,967600,marineeritud šampinjonid paprikaga 0.5kg,SH-19-5,5.55,,"
"
6922,9551,127244,lihamaitseaine ürdi-küüslauk santa maria 0.23kg,SH-13-12-73,5.55,,"
"
6923,9553,206669,kalafileepalad paneeritud esva 0.4kg,SH-4-2-11,5.55,,"
"
6924,9577,7119124,kpn.kv.v.vein cava jaume serra br.nat 0.375l,SH-1-10-20,5.59,,"
"
6925,9578,902578,broilerifilee minutipihv mee-tšilli 0.35kg,SH-8-9-20,5.59,,"
"
6926,9580,7165869,šampoon beebile eco by naty 0.2l,SH-5-1-1,5.59,,"
"
6927,9581,1008863,kaste meega bbq sweet baby ray´s  0.51l,SH-13-16-21,5.59,,"
"
6928,9583,437586,küünetangid trixie,SH-7-3-9,5.59,,"
"
6929,9587,960151,mahe mustas-aroonia siirup dagö berry 0.33l,SH-19-7,5.59,,"
"
6930,9588,955110,mahe mustas-vaarika siirup dagö berry 0.33l,SH-19-7,5.59,,"
"
6931,9591,7238269,jääsulataja turtle wax 0.5l,SH-15-2-10,5.59,,"
"
6932,9592,936618,marineeritud metsaseened 0.42kg,SH-19-5,5.59,,"
"
6933,9595,936616,hapendatud lehter-kukeseened 0.3kg,SH-19-5,5.59,,"
"
6934,9596,7247988,vein baron rosen vino rose medium-sw 1l,SH-1-11-5,5.59,,"
"
6935,9576,7165895,pesugeel eco by naty beebidele 0.2l,SH-5-1-1,5.59,,"
"
6936,9590,7238280,silikoonmääre turtle wax 0.15l,SH-15-2-8,5.59,,"
"
6937,9574,921333,suitsujuustu broilerifilee minutipihv 0.35kg,SH-8-9-20,5.59,,"
"
6938,9582,1005515,kaste origin bbq sweet baby ray`s 0.51l,SH-13-16-21,5.59,,"
"
6939,9572,198857,india pähkel arimex 0.5kg,SH-9-4-10,5.59,7.99,"loyalty
"
6940,9559,7189820,vein baron rosen vino tinto m.-sweet 1l,SH-1-11-3,5.59,,"
"
6941,9560,937799,jogurtijook maasika-mustika actimel 0kg,SH-11-2-4,5.59,,"
"
6942,9561,261135,grillvorst  maitselt mahe 0.9kg,SH-8-1-25,5.59,,"
"
6943,9562,133667,röstitud küüslauk ja pipar s.m 0.08kg,SH-13-12-73,5.59,,"
"
6944,9563,133662,pasta rossa santa maria 0.08kg,SH-13-12-73,5.59,,"
"
